person,n00007846
animal,n00015388
plant,n03956922
food,n00021265
track_and_field,n00439826
track,n00440039
cross-country_skiing,n00440941
water_sport,n00441824
cliff_diving,n00443692
rowing,n00445351
cross-country_riding,n00451186
hunt,n00452293
golf,n00464894
field_game,n00467719
football,n00468480
rugby,n00470966
baseball,n02799071
ball,n02779435
soccer,n00478262
court_game,n00479076
basketball,n02802426
tennis,n00482298
professional_tennis,n00483205
royal_tennis,n00483705
sport,n00523513
camping,n01055165
range_animal,n01315805
work_animal,n01316949
head,n03501614
pet,n01318894
marine_animal,n01319467
hen,n01792640
male,n01321230
young,n01321579
puppy,n01322604
mirror_carp,n01440242
tench,n01440764
goldfish,n01443537
striped_killifish,n01447331
embryo,n01458842
shark,n01482330
cow_shark,n01483021
great_white_shark,n01484850
carpet_shark,n01486540
sand_tiger,n01487506
sandbar_shark,n01489709
blacktip_shark,n01489920
tiger_shark,n01491361
hammerhead,n01494475
electric_ray,n01496331
stingray,n01498041
bird,n01503061
cock,n01514668
night_bird,n01515078
ostrich,n01518878
hedge_sparrow,n01527347
brambling,n01530575
goldfinch,n01531178
house_finch,n01532829
junco,n01534433
indigo_bunting,n01537544
yellowhammer,n01538200
snow_bunting,n01538630
scrubbird,n01546039
robin,n01558993
bulbul,n01560419
blackpoll,n01569566
hill_myna,n01578180
crow,n01579028
jay,n01580077
Rocky_Mountain_jay,n01581434
magpie,n01582220
cactus_wren,n01586374
chickadee,n01592084
swallow,n01594372
barn_swallow,n01594787
cliff_swallow,n01594968
martin,n01595624
bank_martin,n01596273
water_ouzel,n01601694
hawk,n01605630
chicken_hawk,n01606978
kite,n01608432
eagle,n01613294
young_bird,n01613615
bald_eagle,n01614925
sea_eagle,n01615121
vulture,n01616318
owl,n01621127
great_grey_owl,n01622779
European_fire_salamander,n01629819
common_newt,n01630670
eft,n01631663
spotted_salamander,n01632458
axolotl,n01632777
frog,n01639765
wood-frog,n01641206
leopard_frog,n01641391
bullfrog,n01641577
tree_frog,n01644373
tailed_frog,n01644900
reptile,n01661091
turtle,n01662784
sea_turtle,n01663401
loggerhead,n01664065
leatherback_turtle,n01665541
mud_turtle,n01667114
terrapin,n01667778
box_turtle,n01669191
lizard,n01674464
banded_gecko,n01675722
common_iguana,n01677366
fence_lizard,n01680478
western_fence_lizard,n01680655
eastern_fence_lizard,n01680813
side-blotched_lizard,n01681328
American_chameleon,n01682714
night_lizard,n01683558
whiptail,n01685808
agama,n01687978
frilled_lizard,n01688243
alligator_lizard,n01689811
Gila_monster,n01692333
green_lizard,n01693334
African_chameleon,n01694178
monitor,n03782190
African_monitor,n01694955
Komodo_dragon,n01695060
African_crocodile,n01697457
American_alligator,n01698640
triceratops,n01704323
snake,n01726692
thunder_snake,n01728572
ringneck_snake,n01728920
hognose_snake,n01729322
green_snake,n01729977
black_rat_snake,n01732789
king_snake,n01734418
garter_snake,n01735189
ground_snake,n01736375
water_snake,n01737021
grass_snake,n01737875
sand_snake,n01738601
vine_snake,n01739381
night_snake,n01740131
boa_constrictor,n01742172
carpet_snake,n01743936
rock_python,n01744401
Indian_cobra,n01748264
green_mamba,n01749939
sea_snake,n01751748
viper,n01752165
asp,n01752736
horned_viper,n01753488
diamondback,n01755581
sidewinder,n01756291
trilobite,n01768244
harvestman,n01770081
scorpion,n01770393
spider,n01772222
black_and_gold_garden_spider,n01773157
barn_spider,n01773549
garden_spider,n01773797
black_widow,n01774384
tarantula,n01774750
wolf_spider,n01775062
tick,n01776313
mite,n01779629
red_spider,n01782516
centipede,n01784675
millipede,n01786646
horseshoe_crab,n01787835
cochin,n01790812
chicken,n01791625
chick,n01792042
brood_hen,n01792955
mother_hen,n01793085
spring_chicken,n01793340
Rhode_Island_red,n01793435
turkey,n01794158
black_grouse,n01795545
ptarmigan,n01796340
capercaillie,n01797020
ruffed_grouse,n01797886
prairie_chicken,n01798484
brush_turkey,n01801876
pheasant,n01803078
peacock,n01806143
quail,n01806567
partridge,n01807496
dodo,n01811243
pigeon,n01811909
dove,n01812337
parrot,n01816887
African_grey,n01817953
macaw,n01818515
sulphur-crested_cockatoo,n01819313
lovebird,n01820052
lorikeet,n01820546
ani,n01824344
coucal,n01824575
bee_eater,n01828970
hornbill,n01829413
Euopean_hoopoe,n01830042
tody,n01831360
European_swift,n01832493
hummingbird,n01833805
European_goatsucker,n01835769
woodpecker,n01838598
jacamar,n01843065
toucan,n01843383
duck,n01846331
drake,n01847000
lesser_scaup,n01851731
wood_duck,n01852142
sea_duck,n01852861
eider,n01853195
scoter,n01853498
red-breasted_merganser,n01855032
goose,n01855672
snow_goose,n01857079
swan,n01858441
pen,n03906997
black_swan,n01860187
mammal,n01861778
